x            y_obs        weight       y_calc       y_bkg        
15.0         2.193        0.45591      1.597        1.0          
15.01        1.0          1.0          1.597        1.0          
15.02        3.196        0.31284      1.598        1.0          
15.03        0.198        5.04984      1.599        1.0          
15.04        2.0          0.5          1.6          1.0          
15.05        1.201        0.83256      1.601        1.0          
15.06        2.0          0.5          1.601        1.0          
15.07        0.204        4.89698      1.602        1.0          
15.08        3.206        0.31194      1.603        1.0          
15.09        1.207        0.82828      1.604        1.0          
15.1         4.0          0.25         1.604        1.0          
15.11        0.0          1.0          1.605        1.0          
15.12        2.0          0.5          1.606        1.0          
15.13        0.0          1.0          1.607        1.0          
15.14        2.215        0.45144      1.608        1.0          
15.15        1.217        0.82188      1.608        1.0          
15.16        3.218        0.31072      1.609        1.0          
15.17        0.0          1.0          1.61         1.0          
15.18        2.0          0.5          1.611        1.0          
15.19        0.0          1.0          1.612        1.0          
15.2         2.225        0.44951      1.612        1.0          
15.21        0.226        4.41994      1.613        1.0          
15.22        2.228        0.44886      1.614        1.0          
15.23        1.229        0.81337      1.615        1.0          
15.24        3.0          0.33333      1.616        1.0          
15.25        0.0          1.0          1.616        1.0          
15.26        2.234        0.44757      1.617        1.0          
15.27        1.236        0.80913      1.618        1.0          
15.28        2.238        0.44693      1.619        1.0          
15.29        0.0          1.0          1.62         1.0          
15.3         2.0          0.5          1.62         1.0          
15.31        1.242        0.8049       1.621        1.0          
15.32        3.244        0.30826      1.622        1.0          
15.33        0.246        4.07072      1.623        1.0          
15.34        2.247        0.44498      1.624        1.0          
15.35        1.0          1.0          1.624        1.0          
15.36        3.251        0.30764      1.625        1.0          
15.37        0.0          1.0          1.626        1.0          
15.38        2.254        0.44368      1.627        1.0          
15.39        0.0          1.0          1.628        1.0          
15.4         2.257        0.44303      1.629        1.0          
15.41        0.259        3.86295      1.629        1.0          
15.42        2.0          0.5          1.63         1.0          
15.43        0.0          1.0          1.631        1.0          
15.44        2.0          0.5          1.632        1.0          
15.45        0.266        3.76562      1.633        1.0          
15.46        2.0          0.5          1.634        1.0          
15.47        1.269        0.78807      1.634        1.0          
15.48        2.0          0.5          1.635        1.0          
15.49        -0.728       1.0          1.636        1.0          
15.5         5.0          0.2          1.637        1.0          
15.51        1.276        0.78388      1.638        1.0          
15.52        2.0          0.5          1.639        1.0          
15.53        1.0          1.0          1.64         1.0          
15.54        3.0          0.33333      1.64         1.0          
15.55        1.0          1.0          1.641        1.0          
15.56        3.284        0.30448      1.642        1.0          
15.57        1.0          1.0          1.643        1.0          
15.58        4.0          0.25         1.644        1.0          
15.59        0.289        3.45505      1.645        1.0          
15.6         3.0          0.33333      1.646        1.0          
15.61        0.0          1.0          1.646        1.0          
15.62        2.0          0.5          1.647        1.0          
